Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
TweetyNet,1800.0,1,64,character_error_rate,40.7522439956665,False,Character Error Rate (%)
TweetyNet,1800.0,2,64,character_error_rate,36.1245334148407,False,Character Error Rate (%)
TweetyNet,1800.0,3,64,character_error_rate,38.819441199302666,False,Character Error Rate (%)
TweetyNet,1800.0,4,64,character_error_rate,42.07898080348968,False,Character Error Rate (%)
TweetyNet,1800.0,5,64,character_error_rate,40.07408320903778,False,Character Error Rate (%)
TweetyNet,1800.0,1,176,character_error_rate,14.76310938596725,False,Character Error Rate (%)
TweetyNet,1800.0,2,176,character_error_rate,15.148486196994778,False,Character Error Rate (%)
TweetyNet,1800.0,3,176,character_error_rate,17.34718382358551,False,Character Error Rate (%)
TweetyNet,1800.0,4,176,character_error_rate,20.24779170751571,False,Character Error Rate (%)
TweetyNet,1800.0,5,176,character_error_rate,16.72814339399337,False,Character Error Rate (%)
TweetyNet,1800.0,1,1000,character_error_rate,11.15815714001655,False,Character Error Rate (%)
TweetyNet,1800.0,2,1000,character_error_rate,13.621777296066279,False,Character Error Rate (%)
TweetyNet,1800.0,3,1000,character_error_rate,8.403940498828879,False,Character Error Rate (%)
TweetyNet,1800.0,4,1000,character_error_rate,11.415258795022961,False,Character Error Rate (%)
TweetyNet,1800.0,5,1000,character_error_rate,10.58755666017532,False,Character Error Rate (%)
TweetyNet,1800.0,1,2000,character_error_rate,6.06284439563751,False,Character Error Rate (%)
TweetyNet,1800.0,2,2000,character_error_rate,8.03801789879798,False,Character Error Rate (%)
TweetyNet,1800.0,3,2000,character_error_rate,10.7259415090084,False,Character Error Rate (%)
TweetyNet,1800.0,4,2000,character_error_rate,7.924132794141769,False,Character Error Rate (%)
TweetyNet,1800.0,5,2000,character_error_rate,14.606581628322601,False,Character Error Rate (%)
TweetyNet,1800.0,1,4000,character_error_rate,7.64403790235519,False,Character Error Rate (%)
TweetyNet,1800.0,2,4000,character_error_rate,6.2976956367492605,False,Character Error Rate (%)
TweetyNet,1800.0,3,4000,character_error_rate,7.77114927768707,False,Character Error Rate (%)
TweetyNet,1800.0,4,4000,character_error_rate,5.051891878247259,False,Character Error Rate (%)
TweetyNet,1800.0,5,4000,character_error_rate,5.672260746359821,False,Character Error Rate (%)
TemporalConvNet,1800.0,1,64,character_error_rate,122.5606918334961,False,Character Error Rate (%)
TemporalConvNet,1800.0,2,64,character_error_rate,115.12748003005979,False,Character Error Rate (%)
TemporalConvNet,1800.0,3,64,character_error_rate,123.27207326889038,False,Character Error Rate (%)
TemporalConvNet,1800.0,4,64,character_error_rate,140.879487991333,False,Character Error Rate (%)
TemporalConvNet,1800.0,5,64,character_error_rate,149.60551261901855,False,Character Error Rate (%)
TemporalConvNet,1800.0,1,176,character_error_rate,69.44382786750793,False,Character Error Rate (%)
TemporalConvNet,1800.0,2,176,character_error_rate,72.72621393203735,False,Character Error Rate (%)
TemporalConvNet,1800.0,3,176,character_error_rate,65.36505818367004,False,Character Error Rate (%)
TemporalConvNet,1800.0,4,176,character_error_rate,70.5789864063263,False,Character Error Rate (%)
TemporalConvNet,1800.0,5,176,character_error_rate,81.91717863082886,False,Character Error Rate (%)
TemporalConvNet,1800.0,1,1000,character_error_rate,28.747224807739258,False,Character Error Rate (%)
TemporalConvNet,1800.0,2,1000,character_error_rate,33.72469246387481,False,Character Error Rate (%)
TemporalConvNet,1800.0,3,1000,character_error_rate,29.59120273590088,False,Character Error Rate (%)
TemporalConvNet,1800.0,4,1000,character_error_rate,35.23164689540863,False,Character Error Rate (%)
TemporalConvNet,1800.0,5,1000,character_error_rate,39.50589895248413,False,Character Error Rate (%)
TemporalConvNet,1800.0,1,2000,character_error_rate,25.196123123168938,False,Character Error Rate (%)
TemporalConvNet,1800.0,2,2000,character_error_rate,29.816630482673638,False,Character Error Rate (%)
TemporalConvNet,1800.0,3,2000,character_error_rate,27.916431427001946,False,Character Error Rate (%)
TemporalConvNet,1800.0,4,2000,character_error_rate,27.305209636688232,False,Character Error Rate (%)
TemporalConvNet,1800.0,5,2000,character_error_rate,31.83927834033966,False,Character Error Rate (%)
TemporalConvNet,1800.0,1,4000,character_error_rate,25.066018104553223,False,Character Error Rate (%)
TemporalConvNet,1800.0,2,4000,character_error_rate,29.89787757396698,False,Character Error Rate (%)
TemporalConvNet,1800.0,3,4000,character_error_rate,23.05808961391449,False,Character Error Rate (%)
TemporalConvNet,1800.0,4,4000,character_error_rate,23.93351644277572,False,Character Error Rate (%)
TemporalConvNet,1800.0,5,4000,character_error_rate,29.703140258789062,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,64,character_error_rate,83.7953269481659,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,64,character_error_rate,91.3945496082306,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,64,character_error_rate,85.77349185943604,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,64,character_error_rate,89.41465020179749,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,64,character_error_rate,69.49751377105713,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,176,character_error_rate,37.74240612983703,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,176,character_error_rate,40.323206782340996,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,176,character_error_rate,40.34189581871032,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,176,character_error_rate,53.920817375183105,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,176,character_error_rate,35.71085333824157,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,1000,character_error_rate,18.15088540315628,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,1000,character_error_rate,21.09214514493942,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,1000,character_error_rate,20.48007249832153,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,1000,character_error_rate,23.81258010864257,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,1000,character_error_rate,20.496055483818047,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,2000,character_error_rate,14.79384452104568,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,2000,character_error_rate,17.438264191150658,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,2000,character_error_rate,15.878123044967651,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,2000,character_error_rate,16.50107204914093,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,2000,character_error_rate,20.45421153306961,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,4000,character_error_rate,11.35916635394096,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,4000,character_error_rate,16.237568855285637,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,4000,character_error_rate,15.500357747077938,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,4000,character_error_rate,13.65924924612045,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,4000,character_error_rate,16.94121211767196,False,Character Error Rate (%)
TweetyNet,1800.0,1,64,character_error_rate_tfm,3.20069529116153,True,Character Error Rate (%)
TweetyNet,1800.0,2,64,character_error_rate_tfm,3.27756777405738,True,Character Error Rate (%)
TweetyNet,1800.0,3,64,character_error_rate_tfm,3.25652211904525,True,Character Error Rate (%)
TweetyNet,1800.0,4,64,character_error_rate_tfm,3.08348052203655,True,Character Error Rate (%)
TweetyNet,1800.0,5,64,character_error_rate_tfm,2.8067959472537,True,Character Error Rate (%)
TweetyNet,1800.0,1,176,character_error_rate_tfm,1.4132060110569,True,Character Error Rate (%)
TweetyNet,1800.0,2,176,character_error_rate_tfm,1.72562729567289,True,Character Error Rate (%)
TweetyNet,1800.0,3,176,character_error_rate_tfm,1.8436666578054401,True,Character Error Rate (%)
TweetyNet,1800.0,4,176,character_error_rate_tfm,2.10379753261804,True,Character Error Rate (%)
TweetyNet,1800.0,5,176,character_error_rate_tfm,2.02509704977273,True,Character Error Rate (%)
TweetyNet,1800.0,1,1000,character_error_rate_tfm,1.52548793703317,True,Character Error Rate (%)
TweetyNet,1800.0,2,1000,character_error_rate_tfm,2.19752490520477,True,Character Error Rate (%)
